code;traduction;titre;nb_rattachements;nb_concept;passages_concept;lectures_ouverture
57-0915M;SKN;Hébreux Chapitre Six #3 et Hébreux chapitre Sept #1;2;2;Galates 3:16 | Jean 5:24;
57-0915M;VGR;Hébreux, chapitre six #3;2;2;Galates 3:16 | Jean 5:24;
57-0922E;SKN;Hébreux Chapitre Sept #2;1;1;Hebreux 10:0;
57-0922E;VGR;Hébreux, chapitre sept #2;1;1;Hebreux 10:0;
57-0922M;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Éternellement;1;1;Jean 5:0;
57-0925;SKN;Questions Et Réponses Sur Les Hébreux, 1ère Partie;32;16;Actes 10:49 | Actes 2:0 | Actes 2:38 | Apocalypse 11:0 | Ephesiens 4:30 | Ezechiel 9:0 | Galates 1:8 | Genese 3:8 | Hebreux 11:1 | Jean 6:0 | Joel 2:28 | Luc 16:16 | Matthieu 25:46 | Matthieu 28:0 | Matthieu 28:19 | actes 10:48;Apocalypse 11:0
57-0925;VGR;Questions et réponses sur Hébreux, 1re partie;32;16;Actes 10:49 | Actes 2:0 | Actes 2:38 | Apocalypse 11:0 | Ephesiens 4:30 | Ezechiel 9:0 | Galates 1:8 | Genese 3:1 | Genese 3:8 | Hebreux 11:1 | Joel 2:28 | Luc 16:16 | Matthieu 25:46 | Matthieu 28:0 | Matthieu 28:19 | actes 10:48;
57-1002;SKN;Questions Et Réponses Sur Les Hébreux, IIè Partie;27;21;1 Corinthiens 12:0 | 1 Jean 5:7 | Actes 19:0 | Actes 2:27 | Actes 7:55 | Apocalypse 11:0 | Apocalypse 21:0 | Apocalypse 21:19 | Apocalypse 5:0 | Ephesiens 1:20 | Esaie 9:6 | Esther 6:0 | Genese 38:0 | Jean 5:24 | Jean 5:7 | Marc 14:62 | Matthieu 24:0 | Matthieu 27:0 | Psaumes 16:0 | Psaumes 16:10 | Romains 8:1;
57-1002;VGR;Questions et réponses sur Hébreux, 2e partie;21;16;Actes 19:0 | Actes 2:27 | Actes 7:55 | Apocalypse 21:0 | Apocalypse 21:19 | Apocalypse 5:0 | Ephesiens 1:20 | Esaie 9:6 | Genese 38:0 | Jean 5:24 | Jean 5:7 | Marc 14:62 | Matthieu 24:0 | Matthieu 27:0 | Psaumes 16:10 | Romains 8:1;
57-1006;SKN;Questions Et Réponses Sur Les Hébreux, IIIè Partie;21;13;1 Pierre 3:19 | 2 Pierre 2:4 | Apocalypse 11:0 | Apocalypse 21:19 | Apocalypse 5:0 | Esther 2:0 | Galates 1:8 | Genese 1:0 | Genese 1:28 | Genese 2:0 | Genese 38:0 | Genese 5:16 | Psaumes 23:0;
57-1006;VGR;Questions et réponses sur Hébreux, 3e partie;13;10;Apocalypse 11:0 | Apocalypse 21:19 | Apocalypse 5:0 | Galates 1:8 | Genese 1:0 | Genese 1:28 | Genese 2:0 | Genese 38:0 | Genese 5:16 | Psaumes 23:0;
57-1208;SKN;Je Me Tiens A La Porte, Et Je Frappe;2;1;Jean 5:0;Apocalypse 3:14
57-1208;VGR;Je me tiens à la porte, et Je frappe;2;2;Apocalypse 3:14 | Jean 5:0;
57-1211;SKN;Messieurs, Nous Voudrions Voir Jésus;5;3;Jean 14:0 | Jean 5:0 | Matthieu 24:0;Hebreux 13:8
57-1212;SKN;La Porte De La Porte;4;3;Hebreux 13:8 | Jean 5:19 | Jean 5:24;
57-1213;SKN;ET PUIS JESUS VINT;8;4;Hebreux 13:8 | Jean 4:0 | Jean 5:19 | Psaumes 103:3;Jean 17:0 | Jean 5:19
57-1215;SKN;PARLE A CETTE MONTAGNE;1;0;;Jean 5:19
57-1222;SKN;LA GRANDE LUMIERE BRILLANTE;4;0;;Actes 10:35 | Daniel 12:3 | Marc 11:24 | Romains 8:1
57-1229;SKN;La Foi;1;1;Jean 5:19;
57-1229;VGR;La foi;1;1;Jean 5:19;
58-0105;SKN;Ayez Foi En Dieu;3;3;Hebreux 13:8 | Jean 14:8 | Jean 5:19;
58-0107;SKN;La Reine de Séba;1;1;Jean 5:19;
58-0109;SKN;Les Appelés À Sortir;1;1;2 Timothee 3:0;
58-0110;SKN;Le Puissant Conquérant;1;1;Jean 5:19;
58-0112A;SKN;Pour Accomplir Ses Prodiges;2;2;Exode 13:0 | Matthieu 10:10;
58-0125;SKN;La Reine Du Midi;2;2;Hebreux 11:0 | Jean 1:0;
58-0126;SKN;Ecoutez-Le;2;1;Psaumes 103:3;Actes 19:0
58-0127;SKN;Jéhovah-Jiré;3;3;Genese 12:0 | Genese 22:0 | Romains 8:0;
58-0128;SKN;L'Harmonie De L'Unité (La Tour De Babel);1;1;Ephesiens 4:30;
58-0130;SKN;Écriture Sur La Muraille;3;0;;Marc 16:0
58-0202;SKN;Hâte-toi de te sauver là;3;3;Apocalypse 17:17 | Marc 11:24 | Matthieu 16:0;
58-0202;VGR;Hâte-toi de te réfugier ici;4;4;Apocalypse 17:17 | Luc 17:26-29 | Marc 11:24 | Matthieu 16:0;
58-0207;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Eternellement;10;8;1 Corinthiens 12:0 | Hebreux 13:8 | Jean 15:0 | Jean 1:0 | Jean 4:0 | Jean 5:0 | Jean 5:19 | Psaumes 103:3;
58-0208;SKN;La Reine de Séba;3;3;Hebreux 13:8 | Jean 5:19 | Marc 16:0;
58-0209A;SKN;Ecoutez-Le;1;1;Jean 14:0;
58-0209E;SKN;La Porte À L’Intérieur De La Porte;3;3;Actes 19:0 | Jean 3:0 | Jean 5:19;
58-0214;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Eternellement;6;6;1 Corinthiens 12:0 | Hebreux 13:8 | Jean 12:20 | Jean 14:7 | Jean 15:0 | Jean 5:0;
58-0223;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Éternellement;8;8;1 Corinthiens 12:0 | Hebreux 13:8 | Jean 1:0 | Jean 4:0 | Jean 5:0 | Jean 5:19 | Matthieu 10:0 | Psaumes 103:3;
58-0225;SKN;L'Oeil De Dieu;5;2;Hebreux 13:8 | Jean 5:0;Jean 4:0 | Jean 5:19 | Psaumes 32:0
58-0225;VGR;L’œil de Dieu;4;4;Hebreux 13:8 | Jean 4:0 | Jean 5:0 | Jean 5:19;
58-0228;SKN;Ta Bonté;3;3;Jean 15:0 | Psaumes 42:1 | Psaumes 63:0;
58-0301B;SKN;La Grande commission - La Révélation spirituelle (l'atmosphère spirituelle);5;4;Actes 10:35 | Jean 12:0 | Jean 5:24 | Psaumes 42:7;Matthieu 10:0
58-0301E;SKN;Ecoutez-Le;6;6;Ephesiens 1:5 | Exode 19:0 | Jean 14:0 | Jean 1:0 | Jean 4:0 | Jean 5:19;
58-0309E;SKN;L'église S'en Ira-T-Elle Avant La Tribulation? (Hâte-Toi Et Viens Ici, Car Je Ne Puis Rien;3;3;Jean 1:0 | Jean 4:0 | Jean 5:19;
58-0312;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Eternellement;8;6;1 Corinthiens 12:0 | Jean 11:0 | Jean 15:0 | Jean 1:0 | Jean 5:19 | Psaumes 103:3;
58-0313;SKN;La Reine De Séba;3;3;Hebreux 11:0 | Jean 14:7 | Jean 5:19;
58-0314;SKN;L'Amour;2;1;Jean 3:16;Jean 3:16
58-0315;SKN;La Foi;3;3;Actes 1:8 | Jean 5:19 | Luc 24:49;
58-0316A;SKN;Pareil À L’aigle Qui Éveille Sa Couvée;3;2;Actes 2:0 | Jean 3:16;Deuteronome 32:1-12
58-0316E;SKN;La Porte Du Coeur;5;4;Actes 19:0 | Jean 1:0 | Jean 5:19 | Marc 16:0;
58-0323;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Éternellement;8;7;Actes 10:49 | Hebreux 13:8 | Jean 12:0 | Jean 17:0 | Jean 1:0 | Psaumes 103:3 | actes 10:48;
58-0324;SKN;Ecoutez-Le;4;4;Ephesiens 1:5 | Galates 4:0 | Hebreux 13:8 | Jean 14:0;
58-0325;SKN;La Foi Par L’Expérience;2;2;Jean 4:0 | Matthieu 27:0;
58-0326;SKN;Unis sous une seule tête;2;2;Actes 2:38 | Jean 11:0;
58-0328;SKN;Dieu Tient Sa Parole;1;1;Psaumes 103:3;
58-0329;SKN;Le Puissant conquérant;1;1;Jean 4:0;
58-0330A;SKN;Entretien Sur L'Oeuvre Missionnaire;8;3;Actes 19:0 | Jacques 5:14 | Marc 16:0;
58-0330E;SKN;Christ Frappe À La Porte;2;1;Jean 14:0;Actes 19:0
58-0406E;SKN;Évidence De La Résurrection;2;1;Luc 24:0;Luc 24:0
58-0500;SKN;L’Aigle Qui Éveille Sa Couvée;3;2;Deuteronome 32:11 | Jacques 5:14;
58-0501;SKN;Nous Voudrions Voir Jésus;3;2;Jean 1:0 | Jean 4:0;Marc 16:0
58-0503;SKN;La Reine De Séba;7;5;Hebreux 13:8 | Hebreux 3:0 | Jean 5:19 | Jean 5:24 | Marc 11:24;Matthieu 3:0
58-0508;SKN;Expectative;1;1;Jean 4:0;
58-0510;SKN;Ayez foi en Dieu;6;6;Actes 19:0 | Actes 1:8 | Hebreux 13:8 | Jean 11:0 | Jean 4:0 | Jean 5:19;
58-0512;SKN;LA VIE (Avoir soif de la Vie);2;2;Hebreux 13:8 | Psaumes 63:0;
58-0515;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Éternellement;13;8;Hebreux 3:1 | Jean 12:0 | Jean 1:0 | Jean 4:0 | Jean 5:0 | Jean 5:19 | Jean 6:0 | Matthieu 3:0;Hebreux 13:8 | Jean 12:0
58-0517E;SKN;Le Péché D'Incrédulité;3;2;Hebreux 11:1 | Jean 5:19;Matthieu 12:0
58-0518;SKN;UNE FOI EPROUVEE PRODUIT DES RESULTATS;3;2;Esaie 40:3 | Jeremie 1:4;
58-0519;SKN;LA VIE;3;3;Hebreux 4:0 | Jean 5:19 | Psaumes 63:0;
58-0520;SKN;LE SIGNE DU TEMPS;1;1;Daniel 5:25;
58-0521;SKN;Voici, Je Me Tiens À La Porte Et Je Frappe;2;2;Jean 4:0 | Jean 5:19;
58-0523;SKN;Nous Voudrions Voir Jésus;10;8;Actes 10:49 | Actes 2:0 | Actes 4:0 | Jean 4:0 | Jean 5:19 | Jean 6:0 | Psaumes 103:3 | actes 10:48;Hebreux 13:8 | Jean 12:20
58-0524;SKN;Jésus De Nazareth Passe;7;6;Hebreux 13:8 | Jean 11:0 | Jean 14:8 | Jean 4:0 | Jean 5:19 | Psaumes 103:3;
58-0528;SKN;Le Signe Du Messie;2;2;Jean 1:0 | Matthieu 12:0;
58-0529;SKN;Jésus À La Porte;1;1;Apocalypse 3:20;
58-0530;SKN;LA FOI EPROUVEE AU FIL DU TEMPS;1;1;Jean 5:19;
58-0611;SKN;AVOIR SOIF DE LA VIE;1;0;;Psaumes 63:0
58-0612;SKN;Nous Voudrions Voir Jésus;15;10;Actes 10:49 | Hebreux 13:8 | Jean 1:0 | Jean 3:0 | Jean 4:0 | Jean 5:0 | Jean 5:19 | Jean 6:0 | Romains 8:0 | actes 10:44;
58-0613;SKN;La Reine Du Midi;4;3;Jean 4:0 | Jean 5:19 | Matthieu 12:0;Marc 16:0
58-0618;SKN;Écriture Sur La Muraille;1;0;;Daniel 5:25
58-0619B;SKN;Vous devez naitre de nouveau;1;1;Jean 3:0;
58-0619E;SKN;Pouvons-Nous Voir Jésus?;9;5;Jean 12:0 | Jean 1:0 | Jean 4:0 | Jean 5:19 | Jean 6:0;Hebreux 13:8 | Jean 12:20
58-0620;SKN;La Reine Du Midi;3;2;Jean 4:0 | Jean 5:19;
58-0625;SKN;Il Y A Ici Plus Que Salomon;3;3;Hebreux 13:8 | Jean 4:0 | Matthieu 3:0;
58-0927;SKN;POURQUOI NOUS NE SOMMES PAS UNE DENOMINATION?;15;10;Actes 2:0 | Apocalypse 13:0 | Apocalypse 17:0 | Apocalypse 19:2 | Apocalypse 1:0 | Apocalypse 2:20 | Deuteronome 23:0 | Galates 1:8 | Genese 3:16 | Romains 8:0;
58-0927;VGR;Pourquoi ne sommes-nous pas une dénomination?;14;9;Actes 2:0 | Apocalypse 13:0 | Apocalypse 19:2 | Apocalypse 1:0 | Apocalypse 2:20 | Deuteronome 23:0 | Galates 1:8 | Genese 3:16 | Romains 8:0;
58-0928E;SKN;La Semence Du Serpent;7;6;Apocalypse 13:17 | Apocalypse 13:8 | Apocalypse 17:0 | Hebreux 7:0 | Job 27:0 | Romains 8:0;
58-0928E;VGR;La semence du serpent;7;6;Apocalypse 13:17 | Apocalypse 13:8 | Apocalypse 17:0 | Hebreux 7:0 | Job 27:0 | Romains 8:0;
58-0928M;SKN;Le Baptême Du Saint-Esprit - Le Saint-Esprit Expliqué Ou Le Nom De Jésus;16;12;Actes 19:5 | Actes 2:38 | Apocalypse 13:8 | Apocalypse 17:0 | Apocalypse 17:8 | Apocalypse 3:0 | Ephesiens 1:0 | Ephesiens 5:1 | Galates 1:8 | Jean 14:8 | Jean 5:24 | Matthieu 28:19;
58-1002;SKN;Mais Au Commencement, Il N’En Était Pas Ainsi;4;4;Actes 19:0 | Galates 1:8 | Jean 13:0 | Luc 24:49;
58-1003;SKN;Regarder À L’Invisible;1;1;Jean 14:0;
58-1003;VGR;Regarder à l’Invisible;1;1;Jean 14:0;
58-1004;SKN;La Foi, C'est Notre Victoire;2;2;Hebreux 11:0 | Marc 5:0;
58-1005E;SKN;Un Homme Appelé De Dieu;1;1;Jean 4:0;
58-1005E;VGR;Un homme appelé de Dieu;1;1;Jean 4:0;
58-1005M;SKN;Ecouter sa voix;3;3;Actes 19:0 | Galates 1:8 | Jean 5:19;
58-1005M;VGR;Écoutez Sa Voix;3;3;Actes 19:0 | Galates 1:8 | Jean 5:19;
58-1007;SKN;L'Ordre de l'Eglise;2;2;Hebreux 13:12 | Romains 5:1;
58-1007;VGR;L’ordre de l’Église;2;2;Hebreux 13:12 | Romains 5:1;
58-1130;SKN;Sentinelle, qu'en est-il de la nuit ?;2;2;Apocalypse 3:0 | Esaie 21:1-12;
58-1130;VGR;Sentinelle, que dis-tu de la nuit?;2;1;Apocalypse 3:0;Esaie 21:1-12
58-1221E;SKN;L'Unité d'un seul Dieu dans une seule Eglise;4;3;Actes 1:8 | Ephesiens 4:30 | Luc 24:49;
58-1221E;VGR;L’unité d’un seul Dieu dans la seule Église;2;2;Ephesiens 4:30 | Luc 24:49;
58-1221M;SKN;Où Est-Il, Le Roi Des Juifs?;1;1;Jean 4:0;
58-1228;SKN;Pourquoi La Petite Bethléhem?;3;3;Jean 3:16 | Josue 5:0 | Michee 5:1;
58-1228;VGR;Pourquoi la petite Bethléhem?;3;3;Jean 3:16 | Josue 5:0 | Michee 5:1;
59-0125;SKN;Soyez Certain De Dieu;2;2;Ezechiel 4:0 | Jean 4:0;
59-0125;VGR;Soyez certains de Dieu;1;1;Jean 4:0;
59-0301E;SKN;Que Fais-Tu Ici?;2;2;1 Corinthiens 11:23-32 | 1 Rois 19:0;
59-0301M;SKN;Étroite Est La Porte;2;2;1 Corinthiens 13:0 | Deuteronome 14:2;
59-0301M;VGR;Étroite est la porte;1;1;Deuteronome 14:2;
59-0329E;SKN;Le Signe Du Messie;1;1;Jean 4:0;
59-0329E;VGR;Le signe du Messie;1;1;Jean 4:0;
59-0329M;SKN;Le Baptême D'Eau (Service De Baptême À Pâques);9;8;Actes 10:44 | Actes 19:0 | Actes 19:58 | Apocalypse 21:0 | Marc 16:0 | Matthieu 1:18 | Matthieu 28:19 | actes 19:4;
59-0329M;VGR;Le baptême d’eau;7;6;Actes 10:44 | Actes 19:0 | Apocalypse 21:0 | Marc 16:0 | Matthieu 1:18 | Matthieu 28:19;
59-0329S;SKN;Vivant, Mourant, Enseveli, Ressuscitant, Revenant;2;1;Psaumes 22:0;Psaumes 22:0
59-0329S;VGR;Vivant, mourant, enseveli, ressuscitant, revenant;2;1;Psaumes 22:0;Psaumes 22:0
59-0403;SKN;Vivant, Mourant, Enseveli, Ressuscitant, Revenant;2;2;Jean 3:16 | Psaumes 22:0;
59-0404;SKN;Quelles sont les œuvres de Dieu ?;4;2;Jean 4:0 | Jean 5:19;Hebreux 13:8 | Jean 14:12
59-0404;VGR;Quelles sont les œuvres de Dieu?;4;4;Hebreux 13:8 | Jean 14:12 | Jean 4:0 | Jean 5:19;
59-0405E;SKN;La Reine De Séba;3;1;Jean 4:0;Matthieu 12:42
59-0407;SKN;Conduit Par L'Esprit;4;4;Jean 4:0 | Jean 5:19 | Jean 5:24 | Romains 8:14;
59-0408;SKN;L’Aveugle Bartimée;2;2;Jean 4:0 | Psaumes 133:0;
59-0409;SKN;La Foi De Marie;1;1;Esaie 9:6;
59-0410;SKN;Regarder À L’Invisible;1;1;Hebreux 3:0;
59-0411E;SKN;Observant Son Étoile;2;2;Daniel 2:0 | Marc 16:0;
59-0412E;SKN;Qu’Entends-Tu, Élie?;2;2;1 Rois 19:1-12 | Jean 4:0;
59-0414;SKN;Avoir Soif De La Vie;1;0;;Psaumes 63:0
59-0415A;SKN;La Voie À Laquelle Dieu A Pourvue;3;3;Actes 19:0 | Ephesiens 4:40 | ephesiens 4:30;
59-0415E;SKN;La Foi D’Abraham;1;1;Ephesiens 1:0;
59-0416;SKN;El-shaddaï;1;1;Genese 3:0;
59-0417;SKN;Jéhovah-Jiré;2;2;Esaie 9:6 | Jean 5:14;
59-0418;SKN;Un Temps De Décision;3;2;Actes 2:0 | Jean 4:0;
59-0418;VGR;Un temps de décision;3;2;Actes 2:0 | Jean 4:0;
59-0419A;SKN;Histoire De Ma Vie;1;1;Luc 16:0;
59-0419A;VGR;L’histoire de ma vie;1;1;Luc 16:0;
59-0422;SKN;Nous Voudrions Voir Jésus;10;8;1 Corinthiens 12:0 | Hebreux 13:8 | Jean 4:0 | Jean 5:0 | Jean 5:19 | Jean 6:0 | Marc 16:0 | Matthieu 10:0;
59-0423;SKN;La Postérité D'Abraham;1;1;Apocalypse 1:0;
59-0424A;SKN;Le Fidèle Abraham;3;3;Actes 19:0 | Ephesiens 4:30 | Jean 5:24;
59-0424E;SKN;Ecoutez-Le;3;3;Actes 19:0 | Jean 17:0 | Jean 4:0;
59-0510M;VGR;La fête des Mères;2;2;Apocalypse 1:0 | Jean 6:0;
59-0510M;SKN;La Fête Des Mères;1;1;Jean 6:30;
59-0525;SKN;Les Images de Christ;1;1;Jean 4:0;
59-0525;VGR;Des images de Christ;1;1;Jean 4:0;
59-0610;SKN;Quand j'ai réfléchi à mes voies;1;1;Psaumes 119:0;
59-0611;SKN;Le Temps De Décision;2;2;Genese 24:0 | Genese 24:58;
59-0612;SKN;Tous Les Jours De Notre Vie;2;2;Ephesiens 4:30 | Jean 4:0;
59-0613;SKN;Avoir Soif De La Vie;3;3;Jean 3:16 | Jean 5:19 | Psaumes 63:0;
59-0614;SKN;Du Baume En Galaad;5;4;Hebreux 13:8 | Jean 1:0 | Jean 5:0 | Jean 5:19;Jeremie 8:22
59-0628E;SKN;Questions Et Réponses;39;30;1 Jean 5:0 | 1 Jean 5:16 | 1 Jean 5:18 | Actes 19:0 | Apocalypse 12:0 | Apocalypse 13:8 | Ephesiens 1:4-5 | Ephesiens 4:30 | Esaie 14:12 | Ezechiel 28:12 | Galates 1:8 | Genese 3:8 | Genese 4:0 | Genese 4:1 | Hebreux 10:0 | Jean 17:17 | Jean 3:0 | Jean 5:0 | Luc 10:18 | Marc 16:0 | Matthieu 10:1 | Matthieu 19:9 | Matthieu 1:18 | Matthieu 25:1 | Matthieu 28:19 | Matthieu 7:21-23 | Matthieu 7:6 | Romains 4:0 | Romains 4:8 | Romains 8:0;
59-0628E;VGR;Questions et réponses;34;28;Actes 19:0 | Apocalypse 12:0 | Apocalypse 13:8 | Ephesiens 1:4 | Ephesiens 4:30 | Esaie 14:12 | Ezechiel 28:12 | Galates 1:8 | Genese 3:8 | Genese 4:1 | Hebreux 10:0 | Jean 14:12 | Jean 17:17 | Jean 3:0 | Jean 5:0 | Jean 5:16 | Jean 5:18 | Luc 10:18 | Marc 16:0 | Matthieu 19:9 | Matthieu 1:18 | Matthieu 25:1 | Matthieu 28:19 | Matthieu 7:21-23 | Matthieu 7:6 | Romains 4:0 | Romains 4:8 | Romains 8:0;
59-0628M;SKN;Une Église Séduite Par Le Monde;2;2;Actes 2:38 | Marc 16:0;
59-0628M;VGR;Une Église séduite par le monde;2;2;Actes 2:38 | Marc 16:0;
59-0706;SKN;Réfléchissons À Nos Voies;2;1;1 Jean 3:21;Psaumes 119:0
59-0707;SKN;Du baume en Galaad;6;6;Actes 19:0 | Ephesiens 4:30 | Jean 4:0 | Jean 5:19 | Jeremie 8:22 | Psaumes 103:0;
59-0708E;SKN;Soyez Certain De Dieu;3;2;Jean 3:16 | Jean 5:19;Actes 19:0
59-0708M;SKN;La Dédicace D'Une Eglise;1;1;Jean 5:7;
59-0712;SKN;Une Délivrance totale;3;3;Hebreux 1:0 | Hebreux 1:4 | Jean 1:0;
59-0712;VGR;Une délivrance totale;2;2;Hebreux 1:0 | Hebreux 1:4;
59-0810;SKN;La Réaction À Une Action;2;2;1 Jean 3:0 | Jean 14:0;
59-0811;SKN;C’est Moi, N’ayez Pas Peur;1;1;Jean 14:12;
59-0813;SKN;Pourquoi ?  (Du Baume en Galaad);1;1;Marc 11:24;
59-0814;SKN;Quand J’ai Réfléchi À Mes Voies;3;3;1 Corinthiens 12:0 | Psaumes 119:56 | Psaumes 46:1;
59-0815;SKN;Pareil À L’Aigle Qui Éveille Sa Couvée;5;4;Jean 14:12 | Jean 5:19 | Job 7:0 | Psaumes 103:3;Deuteronome 32:11
59-0823;SKN;Le Gazam, La Sauterelle, Le Jélek Et Le Hasil;9;9;1 Corinthiens 12:0 | 1 Corinthiens 13:0 | Apocalypse 12:0 | Galates 1:8 | Matthieu 11:0 | Matthieu 1:0 | Matthieu 28:19 | Romains 3:0 | Romains 3:4;
59-0920;SKN;Planter la vigne et où la planter;4;0;;Jean 14:8 | Psaumes 1:0 | Psaumes 80:0 | Psaumes 80:7
59-0920;VGR;Planter le cep et où le planter;4;4;Jean 14:8 | Psaumes 1:0 | Psaumes 80:0 | Psaumes 80:7;
59-1004E;SKN;Pourquoi Crier? Parle! (Attitude Envers L’Oint De Dieu);1;1;Jean 14:7;
59-1108;SKN;Posséder Les Portes De L’Ennemi;2;1;Jean 5:19;Genese 22:0
59-1108;VGR;Possédant les portes de l’ennemi;2;1;Jean 5:19;Genese 22:0
59-1115;SKN;Mon Nouveau Ministère;4;4;Actes 2:0 | Esther 9:0 | Marc 16:0 | Psaumes 22:0;
59-1120;SKN;Un Prophète Comme Moïse;1;0;;Marc 6:0
59-1121;SKN;Ta Postérité Possédera La Porte De Son Ennemi;3;0;;Genese 22:0 | Genese 22:15 | Genese 24:56
59-1122;SKN;Qui est celui-ci ?;1;0;;Matthieu 21:0
59-1123;SKN;Parle à cette montagne;3;2;Genese 22:0 | Marc 11:23;
59-1124;SKN;Du Baume En Galaad;1;1;Jean 5:24;
59-1125;SKN;Au Commencement, Il N’en Était Pas Ainsi;3;3;1 Corinthiens 12:0 | Jean 14:0 | Jean 19:5;
59-1126;SKN;Le Jéhovah des miracles;5;3;Esaie 9:5 | Esaie 9:6 | Jean 5:19;
59-1127;SKN;L'Aveugle Bartimée;2;2;Jean 5:19 | Matthieu 10:0;
59-1128;SKN;La Porte Du Coeur;2;0;;Apocalypse 3:0 | Apocalypse 3:17
59-1129;SKN;Voir Dieu;3;2;Jean 14:0 | Jean 4:0;
59-1216;SKN;Qu’Est-Ce Que Le Saint-Esprit?;22;20;1 Corinthiens 12:0 | 1 Jean 16:7 | 1 Jean 2:0 | 1 Jean 2:1 | 1 Jean 2:12 | Actes 1:8 | Actes 2:0 | Actes 8:14 | Apocalypse 11:0 | Ephesiens 4:30 | Esaie 28:0 | Galates 1:8 | Galates 3:29 | Hebreux 4:0 | Jean 14:0 | Jean 16:7 | Joel 2:28 | Luc 24:49 | Romains 4:0 | jean 16:7;
59-1216;VGR;Qu’est-ce que le Saint-Esprit?;18;16;Actes 1:8 | Actes 2:0 | Actes 8:14 | Apocalypse 11:0 | Ephesiens 4:30 | Esaie 28:0 | Galates 1:8 | Galates 3:29 | Hebreux 4:0 | Jean 14:0 | Jean 16:7 | Jean 2:1 | Jean 2:12 | Joel 2:28 | Luc 24:49 | Romains 4:0;
59-1217;SKN;Pourquoi Le Saint-Esprit A-T-Il Eté Donné?;17;12;1 Corinthiens 12:13 | 1 Timothee 3:16 | Actes 18:0 | Actes 19:0 | Actes 4:0 | Ephesiens 4:30 | Jean 12:24 | Jean 14:0 | Jean 14:12 | Jean 17:17 | Jean 1:0 | Matthieu 10:0;Jean 14:14
59-1217;VGR;Pourquoi le Saint-Esprit a-t-Il été donné?;15;10;Actes 18:0 | Actes 19:0 | Actes 4:0 | Ephesiens 4:30 | Jean 12:24 | Jean 14:0 | Jean 14:12 | Jean 17:17 | Jean 1:0 | Matthieu 10:0;Jean 14:14
59-1219;SKN;Questions et réponses sur le Saint-Esprit;13;13;1 Samuel 18:10 | Actes 19:5 | Actes 2:0 | Hebreux 10:0 | Hebreux 6:0 | Hebreux 6:4-6 | Jean 14:0 | Jean 17:17 | Jean 3:16 | Jean 3:3 | Jean 5:24 | Jean 6:0 | Luc 24:49;
59-1219;VGR;Questions et réponses sur le Saint-Esprit;13;12;Actes 19:5 | Actes 1:0 | Hebreux 10:0 | Hebreux 6:0 | Hebreux 6:4-6 | Jean 14:0 | Jean 17:17 | Jean 3:0 | Jean 3:16 | Jean 5:24 | Jean 6:0 | Luc 24:49;
59-1220E;SKN;Identifié À Christ;4;4;Actes 2:4 | Actes 2:6 | Actes 8:18 | Hebreux 6:0;
59-1220E;VGR;S’identifier à Christ;4;4;Actes 2:4 | Actes 2:6 | Actes 8:18 | Hebreux 6:0;
59-1220M;SKN;Conférence avec Dieu;7;6;Actes 19:0 | Esaie 1:0 | Esaie 9:6 | Hebreux 10:0 | Hebreux 6:4 | Psaumes 103:0;Esaie 1:0
59-1223;SKN;Questions Et Réponses;19;14;1 Jean 1:8-10 | Actes 2:0 | Apocalypse 22:0 | Deuteronome 1:0 | Ephesiens 1:0 | Ephesiens 4:30 | Hebreux 10:26 | Hebreux 4:0 | Hebreux 6:0 | Jean 5:24 | Jean 6:0 | Jeremie 1:4 | Romains 7:0 | Romains 7:22;Hebreux 10:26 | Hebreux 6:4 | Romains 7:25
59-1223;VGR;Questions et réponses;20;15;Actes 2:0 | Apocalypse 22:0 | Deuteronome 1:0 | Ephesiens 1:0 | Ephesiens 4:30 | Hebreux 10:26 | Hebreux 4:6 | Hebreux 6:4 | Jean 1:8 | Jean 5:24 | Jean 6:0 | Jeremie 1:4 | Romains 7:0 | Romains 7:22 | Romains 7:25;
59-1227E;SKN;Un Super sens;2;2;Hebreux 11:0 | Jean 5:24;
59-1227E;VGR;Un super-sens;2;2;Hebreux 11:0 | Jean 5:24;
59-1227M;SKN;Un Super signe;2;2;Actes 19:0 | Actes 19:5;
60-0108;SKN;Une Conférence avec Dieu;4;3;Exode 13:21 | Hebreux 11:1 | Jean 5:24;
60-0109;SKN;Messieurs, Nous Voudrions Voir Jésus;7;5;Deuteronome 18:15 | Jean 14:12 | Jean 1:0 | Jean 5:19 | Psaumes 103:0;Hebreux 13:0
60-0110;SKN;La Reine De Séba;4;4;Deuteronome 18:5 | Jean 15:0 | Jean 5:19 | Marc 11:24;
60-0210E;SKN;Et Dès Ce Moment-Là;1;1;Jean 5:19;
60-0221;SKN;Entendre, reconnaître et agir sur la Parole de Dieu;1;1;Hebreux 6:0;
60-0221;VGR;Entendre, reconnaître, agir selon la Parole de Dieu;4;3;Ephesiens 4:30 | Hebreux 10:0 | Hebreux 6:0;Romains 9:11
